V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
1	0.984807255640051	0.992644639668977	0.967062960837038	0.890637046632545	0.820350392871183	0.707083904897728	0.815413409095826	0.783923457725657	0.718571981886411	0.611795647408484	0.494312395689353	0.408502879988542	0.522209684200657	0.549553313528593
2	0.983916493424714	0.992697967558268	0.968241797145331	0.890341303899146	0.833074237003748	0.722349104806619	0.788124032558945	0.747351165131835	0.686079670791346	0.535731147835576	0.448114347005998	0.347994188188474	0.80966011511996	0.824063139222583
3	0.984815863517039	0.992683077249834	0.967790671763534	0.887296104591829	0.824477886349067	0.714979699589658	0.824124011383984	0.799289146404996	0.743332087630671	0.627096557559361	0.515430332738719	0.423507546987093	0.671545377032582	0.690783267533035
4	0.98475947777455	0.992000322584067	0.961262456610549	0.768550976557447	0.706746488235527	0.757033265521756	0.712190078377449	0.700019858557543	0.688234639532452	0.651209728970033	0.771949608706143	0.768826027203523	0.746972287967508	0.73156109026251
5	0.984758875236527	0.992052112494124	0.962305315567121	0.710041596830656	0.686111741168124	0.697135316735809	0.635408997052033	0.598477484314851	0.555891369360872	0.228723517839217	0.305879417399666	0.414749625629756	0.343338351307703	0.344000419865695
6	0.989502664789019	0.910302113056809	0.746460227621749	0.735174051840695	0.693214613518872	0.764104967000651	0.753215309424625	0.745645897290664	0.727343591114416	0.671233618733561	0.598782665198734	0.694357837877979	0.673302693141816	0.651846165808774
7	0.990078021117693	0.872436766911136	0.849346883405764	0.83431486218007	0.780949805355004	0.793580337706186	0.760717773200275	0.676805174429237	0.824655084589063	0.810951397796403	0.785478673070136	0.756705259690147	0.722394298020487	0.680000461520694
8	0.990379686598856	0.919622456027977	0.847521243524895	0.836140547990738	0.782540434933311	0.767288246368348	0.736185587360576	0.652427106105824	0.812836279755671	0.801748055314733	0.786618551005099	0.768720949562992	0.753079996834763	0.731143749167199
9	0.989259271200703	0.755470539311849	0.805873034817602	0.78801694602997	0.73704168944929	0.73361133543687	0.644202415879019	0.521453809431111	0.705973171428476	0.724994161716931	0.703593802616179	0.739246124603627	0.71616830034307	0.655007690755638
10	0.829700510026124	0.807932694121723	0.869344993489789	0.829220435951295	0.733670047746064	0.697496428408526	0.802012445608432	0.804276026186663	0.763706737252785	0.678312032380933	0.609423032935735	0.374011404513699	-0.182146114457927	0.363890414917915
11	0.984505932991581	0.983273889663867	0.927345548730559	0.840566431471608	0.713506968009938	0.540928890771962	0.617572973652728	0.624215564847853	0.585366663588891	0.598106514288479	0.585282017077174	0.557181191628956	0.556533009316455	0.456859409077586
12	0.801331237282018	0.848552956226551	0.870785314543545	0.827841604179584	0.732431865291638	0.685312567133135	0.804264518023071	0.81547962782521	0.797296683021813	0.790296211573265	0.773739902863095	0.735550057902922	0.724568804109125	0.709041829271334
13	0.989305683863694	0.817434599199298	0.848876951903938	0.831479689790987	0.776333479348372	0.825347155781629	0.812727223334268	0.801937047863352	0.785095395911986	0.730568555334088	0.642658447641648	0.673398959199884	0.630778567039366	0.558596822055033
14	0.989711938068131	0.917132490030063	0.84981023996533	0.834643430624543	0.782819129182903	0.793742974754061	0.761011408340641	0.680745183978413	0.827117093406599	0.819660531067418	0.800664159635529	0.779887756472725	0.761618971414966	0.746908084354637
