"MI0000267_MIMAT0004556",4
"MI0000783_MIMAT0000728",1
"MI0017421_MIMAT0019935",1
"MI0017867_MIMAT0021022",3
"MI0000478_MIMAT0000450",2
"MI0000747_MIMAT0004679",10
"MI0014240_MIMAT0015079",9
"MI0000651_MIMAT0000416",12
"MI0000451_MIMAT0000427",12
"MI0005763_MIMAT0004984",14
"MI0005765_MIMAT0004984",14
"MI0005766_MIMAT0004984",14
"MI0000470_MIMAT0004603",5
"MI0000681_MIMAT0000646",10
"MI0000482_MIMAT0000455",3
"MI0019115_MIMAT0022258",10
"MI0006345_MIMAT0005875",3
"MI0014249_MIMAT0015085",14
"MI0016413_MIMAT0018183",5
"MI0000091_MIMAT0000091",1
"MI0005560_MIMAT0004947",12
"MI0000476_MIMAT0000430",1
"MI0006313_MIMAT0005577",14
"MI0001448_MIMAT0003393",3
"MI0000115_MIMAT0004518",3
"MI0000438_MIMAT0004586",11
"MI0006654_MIMAT0005954",14
"MI0003575_MIMAT0003233",2
"MI0005769_MIMAT0004987",2
"MI0017980_MIMAT0021083",2
"MI0000294_MIMAT0000275",1
"MI0016089_MIMAT0018116",11
"MI0017447_MIMAT0018116",11
"MI0017263_MIMAT0019693",1
"MI0001648_MIMAT0001541",2
"MI0003673_MIMAT0003327",2
"MI0003823_MIMAT0010251",2
"MI0011284_MIMAT0017352",5
"MI0003591_MIMAT0003249",3
"MI0006356_MIMAT0005884",3
"MI0000295_MIMAT0000275",1
"MI0003592_MIMAT0003250",5
"MI0003814_MIMAT0005796",6
"MI0014167_MIMAT0015012",3
"MI0019295_MIMAT0022482",14
"MI0000822_MIMAT0000770",12
"MI0000254_MIMAT0004550",13
"MI0000088_MIMAT0000087",1
"MI0000088_MIMAT0000088",1
"MI0000253_MIMAT0004549",5
"MI0000253_MIMAT0000243",10
"MI0001150_MIMAT0001080",3
"MI0003762_MIMAT0003257",15
"MI0003600_MIMAT0003257",15
"MI0003601_MIMAT0003257",15
"MI0000082_MIMAT0000081",3
"MI0000095_MIMAT0000093",11
"MI0000734_MIMAT0004672",3
"MI0003604_MIMAT0003260",13
"MI0000252_MIMAT0000242",8
"MI0000272_MIMAT0000259",3
"MI0000273_MIMAT0000261",6
"MI0000273_MIMAT0004560",7
"MI0000816_MIMAT0000765",1
"MI0003125_MIMAT0002806",13
"MI0016013_MIMAT0018003",12
"MI0002470_MIMAT0002177",11
"MI0002470_MIMAT0004762",3
"MI0019280_MIMAT0022468",13
"MI0000255_MIMAT0000245",1
"MI0000255_MIMAT0004551",1
"MI0000441_MIMAT0000420",1
"MI0000089_MIMAT0000089",2
"MI0000089_MIMAT0004504",2
"MI0005564_MIMAT0004953",13
"MI0005564_MIMAT0022717",13
"MI0000284_MIMAT0000265",5
"MI0014181_MIMAT0019208",11
"MI0003513_MIMAT0004784",5
"MI0000282_MIMAT0000263",4
"MI0000282_MIMAT0004563",4
"MI0000471_MIMAT0000444",1
"MI0000471_MIMAT0000445",1
"MI0000299_MIMAT0004569",3
"MI0000300_MIMAT0004570",3
"MI0000300_MIMAT0000280",3
"MI0000113_MIMAT0000103",11
"MI0000764_MIMAT0000707",11
"MI0001518_MIMAT0001412",11
"MI0001519_MIMAT0001413",11
"MI0000094_MIMAT0000092",3
"MI0005756_MIMAT0004977",1
"MI0005524_MIMAT0004902",2
"MI0003195_MIMAT0002880",6
"MI0005530_MIMAT0002881",6
"MI0005717_MIMAT0002881",6
"MI0003196_MIMAT0002881",6
"MI0003198_MIMAT0002883",6
"MI0003200_MIMAT0002883",6
"MI0003199_MIMAT0002883",6
