"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0.839753466872111,0,0,0,0,0,0,0,0,0.937219730941704,0,0,0,0,0,0,0,0,0,0,0,0.927272727272727,0.993874425727412,0.00473186119873817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971036585365854,0,0.0140405616224649,0,0.946875,0,0.955752212389381,0,0,0,0,0,0.966514459665145,0,0.00462962962962963,0.00297176820208024,0.00444444444444444,0,0,0,0,0,0,0,0.963525835866261,0.984101748807631,0,0,0,0.680786686838124,0,0.00301659125188537,0,0,0,0,0,0.0682852807283763,0.0715396578538103,0.0531757754800591,0.0663650075414781,0.0658307210031348,0.063391442155309,0.0575757575757576,0.043343653250774,0.0548780487804878,0.0440729483282675,0.0666666666666667,0,0.0368098159509202,0,0,0.777777777777778,0.672782874617737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996845425867508,0,0.956723338485317,0,0,0,0.00151745068285281,0,0.414373088685015,0,0,0.993865030674847,0.0031055900621118,0.00451807228915663,0.963691376701967,0,0,0,0,0,0,1,0,0,0,0,0,0.148837209302326,0.961479198767334,0.725341426403642,0,0,0,0,0,0,0,0.0046875,0,0.169895678092399,0,0,0,0,0.948872180451128,0.404580152671756,0,0.00449775112443778,0,0.166402535657686,0.951104100946372,0.995260663507109,0.98297213622291,0,0,0.393081761006289,0.0787878787878788,0,0.0356589147286822,0,0,0,0.992175273865415,0.98936170212766,0.00625,0,0,0.00460122699386503,0.00152905198776758,0.0031201248049922,0.0046656298600311,0,0.993779160186625,0,0,0,0,0,0,0,0
"2",0,1,0,1,1,1,0,0,0,0,0.003125,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0.00158982511923688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109004739336493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.316118935837246,0,0,0,0.105939004815409,0.0996784565916399,0.00315955766192733,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0858995137763371,0.0887096774193548,0,0,0,0,0,0,0,0,0,0,0,0.0528,0,0,0,0,0,0,0.551446945337621,1,1,0,0,0,0,1,1,1,0.00164744645799012,0,0,0,0,0,0,0,0.131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365079365079365,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0.132192846034215,0.853168469860896,0.851097178683386,0.83015873015873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140405616224649,0,0.532154340836013,1,1,0,0.8416,0.843894899536321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445859872611465,0.0470219435736677,0,0,0,0,0,0,0,1,0.00625978090766823,0,0.492063492063492,0.501529051987768,0.508580343213729,0.840625,0.842185128983308,0,0,0,0,1,0,0,0,0,0,0,0.998459167950693,0.990668740279938,0,0.835658914728682,0.841521394611727,0.842679127725857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952380952380952,0,0,0.21671826625387,0.0159744408945687,1,0,0,0,0,0,0,0,0,0,0,0.854430379746835,0,0.844512195121951,0.537974683544304,0,0,0,0,0,0.8234375,0.84748427672956,0.553627760252366,0,0,0,0,0,0.534700315457413,0.529503105590062,0,0,0,0,0,1,0.845161290322581,0,0,0.138263665594855,0.835504885993485,0.0764430577223089,0,0,0,0,0,0,0.854368932038835,0.587227414330218,0.584251968503937,0.577952755905512,0.869774919614148,0.540284360189573,0.874804381846635,0,0,0.954113924050633,0,0.821086261980831,0,0,0,0.530959752321981,0.843548387096774,0,0,0,0,0,0,0,0.00625978090766823,0,0.687010954616588,0,0,0,0,0,0.8416,0.833592534992224,0.839009287925697,0.53125,0.527950310559006,0.534181240063593,0.518691588785047,1,0,0,0,0,0,0,0,0,0
"4",0,1,0,1,1,1,0,0,0,0,0.00148367952522255,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0.0015015015015015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942249240121581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.325958702064897,0,0,0,0.112135176651306,0.101851851851852,0.00303490136570561,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0934579439252336,0.0892307692307692,0,0,0,0,0,0,0,0,0,0,0,0.0496240601503759,0,0,0,0,0,0,0.560790273556231,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.130637636080871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033587786259542,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5",0,1,0,1,1,1,0,0,0,0,0.00297176820208024,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0.00150375939849624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119448698315467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.331845238095238,0,0,0,0.111111111111111,0.105426356589147,0.00455235204855842,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.093603744149766,0.0917573872472784,0,0,0,0,0,0,0,0,0,0,0,0.0553846153846154,0,0,0,0,0,0,0.561538461538462,1,1,0,0,0,0,1,1,1,0.00158227848101266,0,0,0,0,0,0,0,0.130914826498423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398162327718224,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6",0,1,0,1,1,1,0,0,0,0,0.00308166409861325,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128482972136223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.336336336336336,0,0,0,0.113564668769716,0.103338632750397,0.0046656298600311,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0963665086887836,0.0920634920634921,0,0,0,0,0,0,0,0,0,0,0,0.0549450549450549,0,0,0,0,0,0,0.544615384615385,1,1,0,0,0,0,1,1,1,0.00160513643659711,0,0,0,0,0,0,0,0.130781499202552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420560747663551,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,1,0.990536277602524,0.228915662650602,0.271132376395534,0.00151515151515152,0,0,0,0,0,0,0,0.316109422492401,0.213414634146341,0.318252730109204,0.224555735056543,0,0,0,0,0,0.0326594090202177,0.0928462709284627,0.419906687402799,0.222900763358779,0.858024691358025,0.229135053110774,0.181538461538462,0,0,0,0,0,0.0519685039370079,0,0,0.161648177496038,0,0.32572298325723,0.277165354330709,0.709876543209877,0.286775631500743,0.326923076923077,0.318461538461538,0.217948717948718,0.20846394984326,0.237717908082409,0.313755795981453,0.323076923076923,0.238095238095238,0.217987804878049,0.222748815165877,0.320433436532508,0.313636363636364,0.310897435897436,0.235759493670886,0.229402261712439,0.230886850152905,0.239747634069401,0.160194174757282,0.300970873786408,0.238170347003155,0.215408805031447,0.2128,0.252321981424149,0.242088607594937,0.23208722741433,0.319488817891374,0.24191063174114,0.288643533123028,0.229329173166927,0.237421383647799,0.221198156682028,0.29903536977492,0.3203125,0.215625,0.236883942766296,0.305900621118012,0.227906976744186,0.220679012345679,0.304012345679012,0.236760124610592,0.252818035426731,0.218944099378882,0.234756097560976,0.232558139534884,0.234009360374415,0.244992295839753,0.241987179487179,0.312210200927357,0.232744783306581,0.636645962732919,0.226993865030675,0.205564142194745,0.302215189873418,0.22257053291536,0.0628930817610063,0.313084112149533,0,0.0381558028616852,0,0.021978021978022,0,0.0123647604327666,0,0.232704402515723,0.229166666666667,0.252411575562701,0.225552050473186,0,0,0,0,0,0,0,0,0.377675840978593,0.577708006279435,0.251533742331288,0,0,0,0,0,0,0.021875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990740740740741,0,0.322085889570552,0.987361769352291,0,0,0,0,0.176100628930818,0.0254777070063694,0,0,0.0253968253968254,0.0236220472440945,0.0287443267776097,0.308892355694228,0.0062402496099844,0,0.250388802488336,0,0,0.216510903426791,0,0.0704225352112676,0,0.00628930817610063,0,0,0,0.00927357032457496,0,0,0,0,0,0,0,0,0,0,0.235576923076923,0,0,0,0.224489795918367,0.00478468899521531,0,0,0,0,0,0,0.303937007874016,0.825545171339564,0,0,0,0,0,0,0,0,0.217791411042945,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0.31104199066874,0,0.226384364820847,0.93167701863354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0.990536277602524,1,0.302325581395349,0.346774193548387,0.00154083204930663,0,0,0,0,0,0,0,0.411764705882353,0.256568778979907,0.40224358974359,0.289176090468498,0,0,0,0,0,0.0443037974683544,0.121495327102804,0.456140350877193,0.283742331288344,0.820634920634921,0.276995305164319,0.245723172628305,0,0,0,0,0,0.0451612903225806,0,0,0.197411003236246,0,0.427018633540373,0.34248788368336,0.696682464454976,0.348694316436252,0.422950819672131,0.409375,0.278768233387358,0.265402843601896,0.297560975609756,0.409375,0.416932907348243,0.287066246056782,0.273010920436817,0.290064102564103,0.399686520376176,0.406491499227202,0.420454545454545,0.2816,0.283849918433931,0.288854003139717,0.281847133757962,0.184039087947883,0.404186795491143,0.279674796747967,0.2576,0.265472312703583,0.319935691318328,0.310126582278481,0.296825396825397,0.428115015974441,0.314102564102564,0.400318979266348,0.279434850863422,0.28594249201278,0.272727272727273,0.4,0.429032258064516,0.272727272727273,0.309446254071661,0.416666666666667,0.272285251215559,0.286614173228346,0.383012820512821,0.27724358974359,0.333333333333333,0.266558966074313,0.29375,0.278740157480315,0.292134831460674,0.314375987361769,0.279411764705882,0.394904458598726,0.28099173553719,0.62200956937799,0.274570982839314,0.25796178343949,0.413290113452188,0.273015873015873,0.0917721518987342,0.413078149920255,0,0.064,0,0.028436018957346,0,0.0095389507154213,0,0.277685950413223,0.279411764705882,0.301639344262295,0.284552845528455,0,0,0,0,0,0,0,0,0.46676970633694,0.5328,0.283950617283951,0.0030441400304414,0,0,0,0,0,0.0486656200941915,0,0,0,0.988976377952756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.42246835443038,1,0,0,0,0,0.212460063897764,0.0263157894736842,0,0,0.0260162601626016,0.0293637846655791,0.0338461538461538,0.417981072555205,0.0160513643659711,0,0.342356687898089,0,0.00158227848101266,0.26813880126183,0,0.095389507154213,0,0.0110759493670886,0,0,0,0.0172955974842767,0,0,0,0,0,0,0,0,0,0,0.292682926829268,0,0,0,0.282296650717703,0.0065252854812398,0,0,0,0,0,0,0.413570274636511,0.789308176100629,0,0,0,0,0,0,0,0,0.264150943396226,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0.399030694668821,0,0.274380165289256,0.916006339144215,0.987341772151899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0.228915662650602,0.302325581395349,1,0.64375,0,0.0060790273556231,0,0,0,0,0,0,0.770588235294118,0.965722801788376,0.734567901234568,0.987480438184664,0,0,0,0,0,0.130769230769231,0.193984962406015,0.835889570552147,0.979010494752624,0.125948406676783,0.983383685800604,0.551263001485884,0,0,0,0,0,0.0015527950310559,0,0,0.882896764252696,0.00617283950617284,0.778614457831325,1,0.149476831091181,0.638766519823789,0.75968992248062,0.780966767371601,0.98297213622291,0.984779299847793,0.986301369863014,0.804281345565749,0.787106446776612,0.984848484848485,0.98389458272328,0.996927803379416,0.795763993948563,0.768545994065282,0.789230769230769,0.983180428134557,0.986024844720497,0.981845688350983,0.983458646616541,0.877165354330709,0.777777777777778,0.982758620689655,0.983076923076923,0.981566820276498,0.657492354740061,0.63969465648855,0.648036253776435,0.733846153846154,0.651515151515151,0.79236641221374,0.984709480122324,0.983257229832572,0.980392156862745,0.787461773700306,0.778979907264297,0.561162079510703,0.651234567901235,0.789312977099237,0.983231707317073,0.984871406959153,0.774733637747336,0.981873111782477,0.664050235478807,0.983180428134557,0.982169390787519,0.984984984984985,0.984496124031008,0.654434250764526,0.981424148606811,0.75712143928036,0.984399375975039,0.181268882175227,0.984848484848485,1,0.788906009244992,0.980182926829268,0.279456193353474,0.71969696969697,0,0.17351598173516,0,0.16338880484115,0,0.0166414523449319,0,0.986089644513138,0.978294573643411,0.989180834621329,0.989180834621329,0,0,0,0,0,0,0,0,0.722801788375559,0.391437308868502,0.0698365527488856,0,0,0,0,0,0,0.144560357675112,0,0,0,0.223065250379363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323170731707317,0,0.792481203007519,0.319018404907975,0,0,0,0,0.900151285930408,0.00925925925925926,0,0,0.127131782945736,0.140483383685801,0.153958944281525,0.813353566009105,0.274961597542243,0,0.712328767123288,0,0.00303951367781155,0.975609756097561,0,0.249619482496195,0,0.101823708206687,0,0,0,0.0623100303951368,0,0,0,0,0,0,0,0,0,0,0.981481481481482,0,0,0,0.983128834355828,0.282371294851794,0,0,0,0,0,0,0.789147286821705,0.131618759455371,0,0,0,0,0,0,0,0,0.967261904761905,0,0,0,0,0,0.331352154531946,0,0,0,0,0,0,0,0,0,0,0.798473282442748,0,0.976415094339623,0.227272727272727,0.214395099540582,0,0,0,0,0,0,0,0,0,0,0,0,0.00775193798449612,0.00304878048780488,0.0077639751552795,0.0045045045045045,0.0030441400304414,0.00906344410876133,0.00464396284829721
"10",0,0,0,0,0,0,0.271132376395534,0.346774193548387,0.64375,1,0.0061633281972265,0,0,0,0,0,0,0,0.875786163522013,0.614906832298137,0.824675324675325,0.611475409836066,0,0,0,0,0,0.0968253968253968,0.241809672386895,0.608414239482201,0.604395604395604,0.375,0.603503184713376,0.869565217391304,0,0,0,0,0,0.0676328502415459,0,0,0.53160453808752,0,0.837025316455696,0.735294117647059,0.517460317460318,1,0.863486842105263,0.821316614420063,0.602291325695581,0.603803486529319,0.6272,0.845047923322684,0.8512,0.608490566037736,0.590062111801242,0.613162118780096,0.820919175911252,0.866459627329193,0.857374392220421,0.618357487922705,0.597682119205298,0.614307931570762,0.616,0.693574958813839,0.853658536585366,0.61247947454844,0.606060606060606,0.593247588424437,0.980922098569157,0.971383147853736,0.9696,0.86871961102107,0.971518987341772,0.839805825242718,0.600953895071542,0.584415584415584,0.5984,0.862295081967213,0.84219001610306,0.931089743589744,0.977382875605816,0.845161290322581,0.591346153846154,0.630048465266559,0.835218093699515,0.6112,0.969155844155844,0.596059113300493,0.614307931570762,0.606349206349206,0.611475409836066,0.973101265822785,0.60556464811784,0.879746835443038,0.621710526315789,0.5232,0.590837282780411,0.55735056542811,0.847402597402597,0.608414239482201,0.1968,0.819935691318328,0,0.136724960254372,0,0.0741324921135647,0,0.0111464968152866,0,0.600328947368421,0.586816720257235,0.587275693311582,0.611382113821138,0,0,0,0,0,0,0,0,0.863354037267081,0.228934817170111,0.412403100775194,0.0060882800608828,0,0,0,0,0,0.080952380952381,0,0,0,0.278846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361736334405145,0,0.85214626391097,0.347402597402597,0,0,0,0,0.532051282051282,0.0032520325203252,0,0,0.0680713128038898,0.0775577557755776,0.086687306501548,0.828200972447326,0.0243506493506494,0,0.76984126984127,0,0,0.604166666666667,0,0.193548387096774,0,0.0305466237942122,0,0,0,0.0273311897106109,0,0,0,0,0,0,0,0,0,0,0.608196721311475,0,0,0,0.593247588424437,0.0333333333333333,0,0,0,0,0,0,0.846029173419773,0.393939393939394,0,0,0,0,0,0,0,0,0.60062893081761,0,0,0,0,0,0.194928684627575,0,0,0,0,0,0,0,0,0,0,0.819645732689211,0,0.6,0.4544,0.264331210191083,0,0,0,0,0,0,0,0,0,0,0,0,0.00163398692810458,0,0.00492610837438424,0,0,0,0.0016260162601626
"11",0,0.003125,0,0.00148367952522255,0.00297176820208024,0.00308166409861325,0.00151515151515152,0.00154083204930663,0,0.0061633281972265,1,0.992424242424242,0.0030441400304414,0,0,0,0,0.00303030303030303,0.00583941605839416,0,0.00604229607250755,0,0,0.00303030303030303,0.00293685756240822,0.00301204819277108,0.00305343511450382,0,0.00146842878120411,0,0.00439882697947214,0.10590015128593,0,0.121301775147929,0,0,0,0,0,0.0276923076923077,0,0,0.108231707317073,0.900751879699248,0.00451807228915663,0,0.0870870870870871,0.00586510263929619,0.0061633281972265,0.00596125186289121,0,0,0,0.00453857791225416,0.00301204819277108,0,0,0,0.00451807228915663,0.00585651537335286,0.00609756097560976,0,0,0,0,0.00156739811912226,0.00459418070444104,0,0,0,0.00301659125188537,0.00924499229583975,0.00753012048192771,0.00614439324116743,0.00604229607250755,0.00306278713629403,0,0,0,0.0046801872074883,0.00455927051671732,0.0968229954614221,0.00613496932515337,0.00603318250377074,0,0,0.00598802395209581,0,0.00617283950617284,0,0,0,0,0.00601503759398496,0,0.00458715596330275,0,0.0966767371601208,0.00148809523809524,0,0.00464396284829721,0,0,0.00453857791225416,0,0,0,0,0,0.00151057401812689,0,0,0,0,0,0,0,0.00306748466257669,0,0,0,0,0,0.00589101620029455,0.121212121212121,0.473372781065089,0,0,0,0,0,0,0,0,0,0,0.00151975683890578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151285930408472,0,0.00597907324364723,0.00152905198776758,0,0,0,0.00152671755725191,0.1,0.00152671755725191,0,0,0,0.0015220700152207,0,0.00453857791225416,0.223404255319149,0,0.10960960960961,0,0,0,0,0,0,0.0983358547655068,0,0,0,0.130500758725341,0,0.00148148148148148,0.00306278713629403,0,0,0,0,0.0029940119760479,0.0030441400304414,0.00305343511450382,0.0031055900621118,0,0,0,0,0.471406491499227,0,0.13984962406015,0,0,0,0,0.00601503759398496,0.117559523809524,0,0,0,0,0,0,0,0,0,0.0577507598784195,0.894578313253012,0,0,0,0,0,0,0,0,0,0,0.00151285930408472,0.00301659125188537,0,0,0.00301204819277108,0,0.00470957613814757,0.00150602409638554,0.00152905198776758,0,0,0,0,0,0,0,0,0,0,0,0.00154798761609907,0.897865853658537,0.901664145234493,0.907834101382488,0.903323262839879,0.901081916537867,0.891603053435114,0.897832817337461
"12",0,0,0,0,0,0,0,0,0.0060790273556231,0,0.992424242424242,1,0,0,0,0,0,0,0.0015015015015015,0.00768049155145929,0.00313971742543171,0.00793650793650794,0,0,0,0,0,0,0,0.00315457413249211,0.0106870229007634,0.0911901081916538,0.00611620795107034,0.115326251896813,0,0,0,0,0,0.0296875,0,0,0.102362204724409,0.91496062992126,0,0.00312989045383412,0.0656488549618321,0.00149253731343284,0.0032,0.00154320987654321,0.0063391442155309,0.00617283950617284,0.00158227848101266,0.0031104199066874,0.0015527950310559,0.00618238021638331,0.00599700149925037,0.00469483568075117,0.00308641975308642,0.0029806259314456,0.00158227848101266,0.00476190476190476,0.00316957210776545,0.00453172205438067,0.00476190476190476,0.00643086816720257,0.00316455696202532,0.00471698113207547,0.00471698113207547,0.0062992125984252,0.0031201248049922,0.00628930817610063,0.00156739811912226,0.0015748031496063,0.0045662100456621,0.00156739811912226,0.00617283950617284,0.0046583850931677,0.00463678516228748,0.00158982511923688,0.00158227848101266,0.0807453416149068,0.0047244094488189,0.00156739811912226,0.00473186119873817,0.00622083981337481,0.0031055900621118,0.0046801872074883,0.00323624595469256,0.00628930817610063,0.00455235204855842,0.0062015503875969,0.00469483568075117,0.00460122699386503,0.00318979266347687,0.00311526479750779,0.00319488817891374,0.0839813374805599,0.00768049155145929,0.0046583850931677,0.00158982511923688,0.00465116279069767,0,0,0,0,0,0.00155763239875389,0,0.00154559505409583,0,0.00321027287319422,0.00627943485086342,0.00783699059561128,0.00469483568075117,0,0,0,0,0,0,0,0,0.00155038759689922,0.108527131782946,0.467669172932331,0,0,0,0,0,0,0.00152439024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155038759689922,0,0,0,0,0,0.0903426791277259,0.0015600624024961,0,0,0,0.00473186119873817,0.00150375939849624,0.00313971742543171,0.20440251572327,0,0.0947204968944099,0,0,0.00775193798449612,0,0,0,0.0911901081916538,0,0,0,0.120689655172414,0,0,0,0,0,0,0,0,0,0,0.00645161290322581,0,0,0,0.0047244094488189,0.493569131832797,0,0.134259259259259,0,0,0,0,0.00622083981337481,0.102325581395349,0,0,0,0,0,0,0,0,0.00777604976671851,0.0544323483670296,0.910769230769231,0,0,0,0.00151975683890578,0,0,0,0,0,0,0,0,0,0,0.0031104199066874,0,0.00974025974025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916666666666667,0.917956656346749,0.921875,0.919753086419753,0.918367346938776,0.9125,0.911811023622047
"13",0,1,0,1,1,1,0,0,0,0,0.0030441400304414,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854037267080745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.332835820895522,0,0,0,0.104524180967239,0.0904761904761905,0.00307692307692308,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0914826498422713,0.0923076923076923,0,0,0,0,0,0,0,0,0,0,0,0.0419906687402799,0,0,0,0,0,0,0.576744186046512,1,1,0,0,0,0,1,1,1,0.0016025641025641,0,0,0,0,0,0,0,0.128367670364501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246913580246914,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
