1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
LT056627RU	4053	3961	14350	78851	318287	172122	1100997	575061	395580	239093	121731	198641	94713	178066	154907	251619	243132	398619	535419	3767213	2701963	4945947	4979308	1035428	171597	154963	202348	256408	546209	398778	207354	48825	1082	3	4108488
LT100984RL	7673	7714	45749	291085	801945	228493	968856	529411	224755	129932	98394	163937	121831	241418	197083	393975	256168	391373	484140	1799704	2529211	5069234	5224013	1130602	292891	306090	327347	411656	810796	419649	286868	88400	1201	9	3171729
LT168219RL	6673	5088	18170	87502	254964	129664	741829	461029	278270	150777	68881	118118	63494	99547	118816	153583	219667	301945	423868	3872460	1954609	4376966	5141268	564280	132097	171693	159849	269295	565985	426736	468466	51794	2368	12	5424393
LT092669LU	2335	2395	8692	35014	160147	74808	602778	350098	290738	229207	121005	227353	90392	89610	114123	145788	178397	335677	591849	5893352	2737803	6066736	4562002	864970	107038	117518	158883	177280	635213	527708	146901	33882	947	20	1777998
LT010012LU	4686	3675	18795	77641	257462	207437	1338978	817460	554498	272775	125628	204578	74534	67511	79943	98547	125185	239696	451897	3496051	2710830	5471999	4410059	824935	115068	127808	188058	213832	552339	412830	182679	35498	1208	35	1885777
LT113077LL	4474	4570	22023	48191	130651	199222	913065	500343	400552	229022	105761	165212	68082	91315	103397	132065	162698	309678	579393	3863901	2861247	6365162	4341596	775115	121576	119662	143277	192797	447774	289742	141550	35623	1724	30	1956665
LT178307RU	4618	4466	9938	15860	40089	145028	624879	271262	226459	144517	91086	151257	99111	177875	161994	225260	229340	403502	662831	4047632	3011631	6531820	5626283	861820	171758	142186	162174	228414	437756	344247	231661	47952	1591	6	3238967
LT042988LU	11350	7217	24409	54139	111984	151276	674938	439760	317394	225798	100918	158106	88214	184925	157462	229244	311390	389421	636734	3696308	2498501	5124175	4807510	675833	223840	398089	203879	243198	463725	371430	234378	60401	7650	63	3574165
LT003990RU	4798	6745	20243	66283	175914	227702	1075600	697654	635890	307183	224875	326714	111475	163387	152359	209044	240475	397529	676548	3960461	2713111	6068529	4163402	846277	163538	129889	158160	195093	351753	214851	110497	38107	1545	71	1494969
LT242420LU	6748	6934	11067	30222	66322	98736	495298	294988	190429	138161	76247	150677	95746	153993	162247	200586	223889	367617	573856	3689601	2574668	5488925	5386290	724637	189447	208510	253679	414583	848185	577545	442197	62220	3008	63	4236161
LT137431RL	1932	1556	4658	8720	25563	31182	208357	86879	87475	58284	49277	95724	65641	81117	99447	130670	149517	326327	576634	6115691	2548481	7017220	5488718	650321	100440	137301	153579	237348	871489	716412	209314	47801	1609	22	1933378
LT231373LU	5129	4517	19690	37618	122731	55024	333313	168174	116229	63019	31088	74630	37213	42890	66912	77233	109110	230299	478472	5904424	2085949	5991090	5072057	583934	83037	124548	142198	213913	943825	931587	296794	42298	2652	14	3491448
LT046027RL	3827	4685	12074	35328	89348	161256	1077379	511910	301634	212122	87503	133904	64934	99754	114328	154674	196224	351190	624996	3857272	2508820	6031955	4874405	735797	131174	133580	150897	215790	427546	274260	216030	34918	1770	20	2802785
LT211728RU	6217	7477	26832	111455	229311	224615	1184659	651287	317042	264265	167258	300377	164258	248842	238347	286560	329179	529487	778396	3231831	2776727	5492143	4105872	798407	203626	199085	219527	271422	372382	228530	266206	51797	2683	66	2801832
LT157253RL	6641	7151	12064	29523	95393	36552	208209	117419	78386	38259	29596	52373	38756	61809	79870	105747	133647	249928	385537	3633586	1729998	4591735	5343601	491583	159937	210861	296975	420620	915246	658506	731626	66202	3689	34	6052344
LT024952RU	3473	2915	8528	24851	60217	70490	444593	244958	138728	103874	64598	102738	64992	105946	126103	156205	192971	354421	592228	4122793	2903715	6823821	5068894	809185	135227	153011	184981	242006	538668	347585	187857	36884	2539	19	2873649
LT058156LU	2965	2166	7079	24724	53957	49509	198393	146767	111866	72277	51111	85329	50238	88991	85457	123410	208570	282908	511123	3743952	5001120	7641989	4664979	840977	166203	176812	156226	215984	393730	230840	148511	33883	1564	23	1740245
LT145086RU	2605	2046	5659	18502	55447	112595	919094	413687	199276	160210	79426	147778	78918	98186	113630	125917	164797	313524	560094	4601362	1916796	5039365	4725228	447445	93589	158554	271128	428940	838290	515739	639560	31900	2492	45	2850822
LT294945LU	5275	5034	12501	48601	120611	92247	406722	228380	167549	109976	85304	194627	119221	222522	188391	258305	293204	480627	723045	4789989	2928251	5976427	4719508	961120	214067	205931	235235	275208	434709	239575	174802	73839	1507	7	2715302
LT046027RL_HiSeq	10506	12284	35492	77784	218297	447581	2913149	1368026	816074	592478	177521	266699	183617	260666	321536	420849	482319	926972	1546267	8805621	6416778	16636368	13212021	1938708	347978	358497	386667	561895	1089706	827308	628051	89203	3880	38	7938973
LT211728RU_HiSeq	15789	19579	72766	246966	557718	602451	3164817	1715949	865592	723640	371452	665216	428991	615202	616822	730836	791897	1323357	1819366	7103045	6394186	13030448	9335040	1860011	490423	462005	497535	624420	843825	551671	683877	119867	6995	59	7070771
LT157253RL_HiSeq	17872	18730	33868	69901	235566	96749	527637	297371	194880	98259	64945	114567	104390	156535	215325	283094	330134	650161	944442	9097465	4561494	12662217	13936822	1293801	417649	545242	764828	1100822	2287126	1858701	2252258	215047	9695	51	18139113
LT024952RU_HiSeq	9322	8079	24623	52343	154026	193916	1173086	656204	374405	289202	121995	202699	182511	268662	351834	421674	480161	904271	1378164	9294730	7325994	18390661	13323427	2114874	348168	381914	449145	598377	1278435	984791	527106	91488	4906	22	7752461
LT185066RL_HiSeq	10281	9350	28092	148907	522890	417097	2194677	1219825	719994	430036	118370	196596	87981	97873	138324	172120	238048	643138	1019023	10151697	5913099	15982742	12453099	2553177	288395	309112	334730	401843	2002250	1949300	186696	116439	4508	25	2905758
LT291578RU_HiSeq	9334	8180	30885	98048	320711	367537	1777353	1228560	758718	503400	103594	185408	150616	131824	216292	229538	270495	627824	1061176	6610718	7513962	17105564	11113058	1959487	247269	217300	333879	425275	944278	1399665	256580	62756	2647	20	6083652
LT201348LL	5216	1147	1748	4211	14074	24926	29916	50298	55644	54897	47570	43639	41734	47444	54487	81708	820401	3250263	233995	909099	609259	2554787	568824	395765	32722	50088	49813	44694	74252	60193	87330	26671	512	0	2728287
LT135390LL	3850	975	1652	2546	8139	15565	21153	35385	39119	43212	30651	25776	28855	49836	33792	37226	37233	87204	90549	887298	495552	1443488	446745	286569	22626	17255	26986	24068	23171	28865	17454	3490	861	1	342081
LT045346RU	5719	1319	2520	3099	9593	14338	13200	24490	36768	28893	24891	18254	21395	44435	26708	45997	65128	189283	101220	831085	638919	1917464	810778	300778	25806	27659	55643	32589	37852	35758	30937	3977	379	1	713787
LT163513RL	8155	1578	2453	30655	18421	40320	46720	68428	76240	75045	62333	60306	63163	72647	75994	120583	658916	2671871	254212	1283231	795495	2838992	833669	475827	36999	49548	72182	49408	76167	81569	110427	29106	727	0	3196354
LT109097LL	4763	1086	2175	2660	10826	17261	15456	26261	27546	25801	25552	19759	24625	42571	29418	37041	105726	368652	90846	689807	448172	1532577	446892	402855	18653	16743	26866	24281	26522	38844	33014	6277	327	0	763555
LT155982RU	8647	3655	4395	5791	13870	22005	28266	46870	56492	60911	45430	43681	47965	62575	60131	68152	100122	273189	116708	899974	674728	2195921	681405	488527	35487	30085	46205	38849	39068	55126	68477	6930	1446	0	987866
LT131432RU	5003	1032	2018	5497	12075	18365	23211	51328	59240	48033	40320	38909	41578	51819	53036	50916	62966	164402	99685	1031981	684275	2386784	748793	491101	26554	24715	42428	36598	44196	47752	23251	4988	326	0	482902
LT059975LU	5547	1324	1784	3719	12514	20004	16617	30693	45026	33909	32481	26933	29939	45271	40082	60031	182055	632697	137553	926071	695146	2668485	726490	347306	29012	30126	50167	33644	35400	43183	50890	8094	825	0	1288738
LT156171LL	6955	1186	2096	5562	20123	28223	17304	30207	40312	36692	32032	27152	31180	50496	39516	55294	174911	591676	104880	635172	550366	1567741	470480	429766	25452	21728	33321	27467	40214	37565	45879	18543	473	0	1626258
LT001600RL	3286	872	1522	2499	8301	16094	22856	38339	38381	37100	32503	30032	34058	39985	37711	36292	39840	80345	66662	730093	430978	1335236	449255	485466	28051	22119	31569	30987	29189	36327	24501	2799	576	0	315967
LT245084RU	6540	2096	2342	4295	9473	17739	20923	29087	41111	37561	35727	34819	42222	51877	45879	56808	129780	383979	120838	1055950	621794	1968420	654616	562290	38597	34829	40142	35266	38970	34898	31508	8519	503	0	1005950
LT275526RU	1576	336	718	1216	3950	7451	11071	24727	31773	33745	27030	24461	25434	34061	35745	32507	52343	140161	75039	711084	411270	1433849	374127	261719	16966	19358	27663	24125	31594	35708	22470	4761	470	2	379210
LT175399RU	2668	551	1020	1669	6357	11399	12268	18805	26970	26871	22739	20462	23413	31668	28798	39190	130271	472829	103667	814216	502160	1705967	456709	253775	18802	21253	31459	28920	33955	36964	42542	9636	578	0	663115
LT173946RL	1891	442	807	1504	5091	10512	19170	39077	45918	49693	39243	37729	34409	38380	43970	46278	163397	578957	114266	887000	552533	1900564	499653	277130	24232	24775	30537	29412	34075	35950	35425	6492	660	0	688632
LT156481LL	3402	535	1757	2728	8782	18641	26712	56307	66435	60704	47227	41012	45027	57639	52179	68983	70908	183579	129013	1260958	926283	2462756	893827	474149	29722	28417	49366	36168	38009	39153	25509	5577	674	0	544195
LT130350RU	6470	3538	4346	4141	6146	10319	11411	17846	30114	21790	22639	18327	24527	45409	30739	48570	36411	72225	84774	763027	609149	1669992	574177	388985	25434	18974	35311	26272	25648	28956	21662	5141	460	0	752010
LT038591LU	2243	401	1122	1085	4179	7066	7524	14277	21510	17963	16476	13055	13797	26043	16798	22213	40591	122075	50092	354630	277198	1088454	297118	191445	12219	12988	20617	20422	22534	19982	18251	2435	335	0	283408
LT093297LU	3928	978	1391	2073	7116	13883	16130	25140	33236	36105	35391	30683	30506	40968	45335	80330	559517	2235207	169231	779498	558648	2108031	542550	378573	27238	31028	39051	29055	40393	46451	90269	17211	706	0	2455250
LT105618RL	3839	675	1257	1867	8759	17756	19816	28249	36502	35924	32774	28833	31099	43155	37606	64849	417651	1598477	172236	567122	465654	1696314	510541	465835	23659	37566	40982	30199	40612	47191	63352	16917	303	1	2542089
LT025997RU	2340	566	1050	1734	7176	12054	7602	10360	18627	17293	14047	11438	16602	30217	26154	30721	46587	105409	41351	242720	227260	758890	217730	165352	11199	10745	23342	21254	22506	62268	43700	2926	95	0	406301
LT046539RL	2135	811	1082	2215	7610	15440	20685	32507	39201	45084	39144	38798	41112	43367	50287	49541	115358	486021	121515	777425	561916	1969045	495778	342631	24973	29196	36396	39480	44496	45998	28836	7782	775	0	447414
LT286056RU	3371	900	2194	3348	10367	16693	10319	18258	28453	21696	20359	17017	21094	34856	28090	45471	137286	506945	110631	901576	787472	2097875	751355	580097	24609	21666	35316	34316	35492	33098	27995	11662	213	0	585026
LT020426LU	3362	1036	2292	5277	7533	13638	14187	26671	37156	35886	27196	23921	26584	41096	36583	50668	80209	257970	144051	1504844	1032516	3241844	1059892	759950	34577	24119	44859	47974	45842	39812	27022	5974	511	0	382463
LT195011RL	2311	901	1265	2929	9306	14157	12738	18012	21163	21186	19100	18179	21904	29263	25838	28216	37087	101773	83030	923481	675129	1718958	485719	355130	17668	13393	25633	30224	30423	35258	21061	3302	366	0	193522
LT002501RL	4044	1323	2070	3678	16023	24354	19035	34376	45946	38793	32399	29943	34634	42849	42008	49348	72734	221901	119178	1222630	952660	2618685	815360	578800	30503	22330	38573	40417	42325	42699	30758	13817	557	0	298303
LT081077RU	4542	3234	3669	4278	8026	11627	10020	17098	22305	17783	19929	15191	16332	24962	19804	25929	46490	170604	63740	545362	486624	1716546	553361	486529	24255	18341	29067	31213	32297	29149	21246	6927	573	0	731167
LT000216LL	3615	1314	1808	3886	12661	22590	21451	32929	36247	37765	37503	38022	40904	46531	38512	44929	109312	355540	103836	667987	611853	2114056	538351	584943	29232	24209	31002	32193	38412	28184	26825	11797	457	0	398883
LT004173LL	2840	1028	1516	3117	9102	15345	20288	32347	37177	39518	29756	28898	32212	39161	36692	37829	41469	90281	105327	1144618	865045	1955378	598911	309747	32912	19629	26216	29095	31429	34624	19330	2732	623	0	212622
LT139649RU	2802	934	1519	3210	11127	16593	15490	28957	41309	38448	28932	29426	30266	46099	34592	48720	122498	435323	101876	707927	597771	1753047	638068	399980	22721	19959	32379	35177	40218	40598	37400	10348	584	0	657816
LT081282RM	4216	1347	1978	2610	7983	10980	9753	17096	25385	20641	18960	20264	24987	42617	29872	44589	90864	283843	103407	906026	656596	2049225	697054	488543	28935	20270	29584	30216	30069	26053	19912	5016	222	0	409575
LT084406RU	10582	4105	5313	8938	33373	47962	27526	42176	51941	47625	43577	44288	55080	60766	61609	90788	397572	1493484	196019	768818	679160	2341988	674929	611903	51543	59899	50282	44110	50205	46639	80367	38078	346	0	1102939
LT192758RU	3228	1006	2172	3692	10607	16571	18066	35002	39213	36444	29565	29010	32205	53790	34542	41046	58963	155323	71054	382586	428148	1310956	415330	439373	21398	17106	29535	35367	38380	33687	22566	6962	446	0	394992
LT287158LU	3681	1155	1417	4523	17531	34633	39143	53032	53465	56894	45176	44716	43176	42520	47331	57505	241428	1119111	113513	696623	550213	2136080	486406	286907	23754	25538	31693	35497	40701	39485	29929	13677	781	0	605815
LT241811LL	3479	1044	2235	4820	17853	27028	20185	32067	38596	30834	25672	21347	24977	35641	30452	42741	63537	222151	97209	991504	773138	2402656	781729	541550	25274	21205	33655	35166	34846	30941	22141	7889	346	0	339115
LT233620RU	2656	825	1605	2981	10624	17746	32415	23925	29133	20665	20626	18300	24178	34352	27205	36032	41856	110081	94326	1026661	784862	2244027	774281	509113	23193	18474	30895	30381	29498	28244	18742	3438	174	0	283629
LT140046RU	5358	3399	3931	6050	11699	18090	20360	39933	44971	41592	35600	32175	34850	41528	36283	45386	76689	253825	114397	1083589	803289	2431373	671325	486212	26015	22256	34387	36107	36258	31223	23347	10333	791	0	827872
LT236045LL	3729	1218	1675	6295	20001	32307	32373	44446	49661	49638	43142	40077	41020	45378	46228	65840	354273	1446770	137202	812508	745701	2554806	561966	323075	23388	28980	34894	36309	46884	46375	46250	21976	544	0	877590
LT056301LL	3503	1199	1639	4038	14122	24150	29728	46003	47001	44488	38683	35585	37820	41534	39352	44206	97992	356661	111923	778598	646240	2266569	580955	422103	23911	24006	30397	33018	40449	42324	28971	8995	737	0	441955
