1	2	3	4	5	6	7	8	9	10
LT112491RM	4384167	1756021	470650	55669	31948	29578	24419	24913	37115	15078
LT134719RU	1725468	1468632	179685	24930	23044	22392	65130	38525	61777	5629
LT238765RL	1303510	615761	133126	12378	10246	9861	12109	15160	22676	3913
LT128191LL	3884019	1198829	398560	25249	17762	13988	11464	12987	16289	12127
LT221983RM	1926725	1088081	206577	16883	15527	15457	37886	23385	42761	5508
LT211455LU	3248591	1233625	298181	65441	20349	20180	25073	25966	26977	9695
LT174536LU	1063624	862165	80820	13189	7391	19762	79967	26616	31763	5040
LT203541RU	3158919	960963	338677	35197	17664	23276	17447	16252	26464	8162
LT195192RL	2470329	1266144	204186	21887	12416	13632	54211	26248	27797	6140
LT056464LL	3050341	704441	239654	21813	10901	7957	6729	7265	5484	5537
LT271679LU	1859659	854805	160698	16377	6961	6420	13216	7027	5876	4663
LT212777RU	2383531	969845	213580	15245	10663	9035	12685	10313	12432	6665
LT299181LU	3331145	1151443	269768	30603	17709	14713	17697	21206	19938	9861
LT145196LU	442385	371871	40023	4978	5408	9348	61583	19227	38220	2238
LT167906LL	2701122	1190233	257701	17712	17528	9133	18597	18929	9454	8366
