1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
LT010012LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47384	79486	99928	210256	415680	3390154	2586101	5303069	3480377	715350	76533	61133	147857	152391	451501	330670	77952	26867	515	1	1043198
LT113077LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63269	107019	128121	272859	528477	3700020	2653366	6141431	3637366	623823	74355	52199	102069	127037	355131	228180	66277	24859	371	4	1107210
LT178307RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104549	192124	187817	349835	609722	3887678	2852319	6242325	4160037	704118	115564	81364	123482	156435	317879	227009	87130	35106	660	0	1846677
LT042988LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101780	192400	266309	319069	565499	3438119	2277404	4853017	3205973	524897	140482	129849	142052	134360	325958	236357	99454	41420	6147	3	1952866
LT003990RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97678	179691	196019	341319	612109	3779332	2518803	5927833	3737942	684652	108277	62996	117999	138735	299965	180109	69026	27002	265	4	832048
LT242420LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100284	160434	176560	305279	505205	3500531	2352288	5172359	3289459	570607	116415	93721	156122	197594	444260	332670	117490	40844	844	1	2208155
LT137431RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62663	106296	120811	295532	526923	6001368	2395853	6814247	4317989	513227	47693	42708	104786	153618	701438	583680	57694	33681	246	0	1043662
LT231373LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40518	58823	86856	209288	445586	5756726	1903049	5807930	3876157	468233	37731	35525	83515	114170	705401	798047	52574	27919	1313	3	1948606
LT046027RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69172	125077	150906	307707	562351	3674414	2311861	5726311	3810477	576130	67900	53946	93055	119668	300564	177912	64478	21494	371	2	1553368
LT211728RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161039	234360	261313	447566	681019	2999446	2544359	5197080	3015161	611957	112906	87998	131066	132345	194485	124444	102754	35431	618	2	1491143
LT157253RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41917	81114	106038	216460	345891	3466167	1619820	4041597	2060974	378865	102190	99442	142214	180619	561353	375517	146835	43773	2239	3	3096002
LT024952RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73844	126205	153382	309746	535180	3981582	2724621	6626754	4336973	653018	76707	59355	132882	173104	453380	268239	66041	23801	1161	0	1754758
LT058156LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52895	104471	184336	245739	478844	3655785	4880126	7489874	4143334	710641	112558	74871	114277	142500	339122	194495	104679	23890	766	1	984620
LT145086RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69429	96943	126024	277654	506786	4403790	1728934	4630303	2411805	340383	41163	33588	65065	90047	325022	240388	73969	18384	463	3	1170546
LT294945LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110055	217093	245593	413410	664673	4650035	2719380	5768102	4123977	776825	143696	105857	186032	209057	366907	188673	107848	57607	552	1	1571350
LT046027RL_HiSeq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194032	342044	373523	816919	1405213	8374438	5951853	15829287	10665483	1523275	188272	146706	237898	313233	760790	538376	160934	52443	763	6	3697356
LT211728RU_HiSeq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418319	598813	630018	1117327	1587461	6540692	5853553	12326256	6971254	1422354	272418	200922	291484	295832	436103	289369	230756	75480	1218	4	3188383
LT157253RL_HiSeq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111614	216656	263248	562786	847863	8700226	4284611	11069504	5488120	993112	264081	257454	365804	471826	1374929	1053931	367172	108267	5196	3	7563918
LT024952RU_HiSeq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205975	340918	383124	792065	1249395	8947621	6922546	17808963	11530408	1696326	198197	148520	318454	430072	1059716	767847	162581	54915	1651	2	3892335
LT185066RL_HiSeq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86467	129797	178631	573971	928606	9881209	5561292	15542949	11406606	2195021	131719	97439	215474	269490	1890592	1863690	97593	71663	452	1	1295902
LT291578RU_HiSeq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123425	172007	204162	565143	989638	6305799	7031222	16347652	9357346	1571291	138226	94286	247761	299979	714982	1114709	113401	36146	551	2	1907788
LT201348LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36470	40493	807854	359486	103269	892996	594328	2526863	521252	370955	19712	24953	32427	33642	50833	34654	81567	24660	29	0	254349
LT135390LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22434	28340	32435	44180	80062	872089	480929	1418100	401616	258604	10816	6923	19424	16587	15335	23364	13883	1334	31	0	167267
LT045346RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18929	35526	59282	49780	86423	817881	623328	1888637	764527	263542	12753	12478	47517	24865	22759	27405	26972	2554	44	0	265016
LT163513RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46418	69117	641601	253134	139388	1264492	775947	2781020	779211	435245	21877	28801	57694	38629	52135	45189	99421	25407	49	0	322879
LT109097LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18860	25778	100527	64674	64658	681746	439504	1514269	415400	383460	11998	10655	22398	20351	18823	32373	30342	5255	40	0	211189
LT155982RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35098	52202	89634	67888	91823	879956	653347	2134566	633405	443600	17163	14275	34986	28481	25671	44097	59694	1852	72	0	251641
LT131432RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35536	40785	57324	52591	87229	1015738	667335	2345585	704151	455380	15752	10815	32989	28667	33055	40566	19548	3384	31	0	230205
LT059975LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26308	42840	174489	84921	100905	911385	677814	2621171	679685	306600	15245	17404	41540	26571	22821	31125	45419	6012	91	0	307325
LT156171LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24719	39177	168008	88748	75177	624264	539231	1542846	440554	406055	16003	12502	27202	22217	22774	26417	42117	16885	53	0	251167
LT001600RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25455	27669	34102	36110	57088	715726	415838	1315165	410780	458020	15519	8998	20372	18546	19239	29880	21542	1298	58	0	190245
LT245084RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27433	40252	120423	64863	95290	1041829	604420	1930236	596438	525159	21519	18568	32116	28510	27287	26046	27227	6479	64	0	303361
LT275526RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25971	24463	48238	39623	63509	697022	398081	1413323	337781	242434	8976	7626	18543	16250	18689	28659	19160	3237	19	1	125484
LT175399RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18131	27702	124597	63357	76140	805112	491496	1680432	418460	232611	9631	12766	24797	22568	23999	26876	39280	8170	29	0	147906
LT173946RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30462	32432	143287	77185	79656	870228	536890	1872980	455096	250595	13140	11705	20499	18968	22393	24588	31429	4644	37	0	138594
LT156481LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32913	56254	63384	68108	115786	1242266	907624	2421287	841410	435609	15626	12459	40202	26970	26871	32038	21137	3416	52	0	200563
LT130350RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17395	40027	31172	44055	77956	753654	598250	1641278	539126	352103	13161	8519	28882	21709	18531	22923	15674	1574	30	0	161623
LT038591LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	16262	37414	30939	39976	346709	269355	1076820	274578	174221	6248	6623	16326	16612	15543	15632	16164	1406	19	0	118431
LT093297LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28781	43269	545426	204798	96472	765391	543217	2072727	506185	351890	14458	16454	28974	20407	26568	22265	84530	14753	36	0	152904
LT105618RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22912	36273	408164	215684	81158	559056	455142	1671709	483600	441258	14838	27838	33884	23221	25953	28056	58647	15133	30	1	225019
LT025997RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17168	24975	43429	25993	34482	238941	223174	747817	203670	153871	7058	6829	20771	19106	17320	58310	41365	2123	38	0	170373
LT046539RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33243	35766	107376	77868	75485	759111	543533	1937087	434682	310599	12515	13453	25368	29123	32943	35416	24696	5864	44	0	119323
LT286056RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17271	32719	130699	70169	87575	890606	770843	2051511	690094	549044	16402	13830	29993	29749	29113	27483	25383	10570	30	0	151385
LT020426LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20829	39719	73644	63237	128279	1487159	1010033	3173906	950731	710171	22256	12652	37726	42466	35428	33473	22797	4399	71	0	158252
LT195011RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15980	22289	32893	35856	75315	914560	663765	1684775	406979	331015	10969	7807	22051	26955	23528	31904	19086	2366	71	0	104718
LT002501RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25800	37441	64492	64792	105455	1207239	933365	2567883	730012	541890	18404	10971	31042	33514	31223	35974	26946	12371	129	0	115594
LT081077RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12081	18086	41939	33269	53371	535331	473037	1686758	508586	456274	14564	8771	22239	25577	22271	22358	15602	3311	17	0	106383
