ID	LT013011LU	LT017811RM	LT028264RL	LT044225RL	LT045399RL	LT055745RU	LT075094LU	LT077800RU	LT081282RM	LT102131RL	LT106997RU	LT115840LL	LT119682RL	LT120371LL	LT123313RM	LT132314LI	LT141224LL	LT141870LU	LT142159RU	LT148286LL	LT156171LL	LT163513RL	LT166240RM	LT171097RL	LT173597LL	LT180102RL	LT190870RU	LT197821RL	LT221983RM	LT241811LL	LT256221LL	LT265662LU	LT270821RU	LT280560LU	LT280646RU	LT282562RM	LT286300LU	LT290677RU
MI0000542_MIMAT0000510_22102508	-0.266623035067735	1.11941062443955	0.408048278586797	0.662495442301263	-0.282484480987778	1.91187953911822	1.63129747604284	0.263018342880749	-1.323559314492	1.83809842185665	-0.234216204549434	-0.90752338429781	-0.644426818619379	0.519239142032984	0.566353189184659	1.24210532013199	-0.263749018887532	0.484404225140244	-2.06821666528084	-1.12350308874812	0.753455064605872	-0.794614864681803	-2.23671334669267	-0.74754912964123	0.322505949849235	0.760436432927186	-0.695442747258882	0.913932246801664	-1.43986726891025	-0.129578662780928	-0.138493914994506	0.0644684627957898	-0.551187431833748	-1.46930572562498	-1.34966917593409	-0.680404133979433	-1.05911835612994	-0.396083366978708
MI0000542_MIMAT0000510_22102509	-0.702153422070975	0.291571557223785	-0.386679753891499	0.323405811212597	0.123798490933504	1.21702710657149	1.01053678828997	0.18333663313661	-0.612566548904686	1.54713126094426	-0.751526172219059	-1.19018862350111	-1.00463728357177	0.0581651733413541	-0.115961255609739	0.22266376727991	-0.117735724231304	0.945525854691303	-1.85907309732844	-0.332024597920842	0.27060672401902	-0.548393296791342	-2.19633979589009	-0.443244813771605	-0.390571499289915	0.307375482187429	-0.85898237238907	1.14461838183671	-1.13833903623191	-0.0774313451526642	0.0446109833727334	-0.415707421762189	0.0152744642459336	-0.852740588409207	-0.548568198175034	-0.0645078642303155	-0.804823389492168	0.128720746096746
MI0000542_MIMAT0000510_22102510	-0.486159005055316	-2.51774447676404	-0.232281574782569	-1.08204722846498	0.114604238643477	1.2684010455958	0.852038450082211	0.247949344153678	0.1084195956602	1.4074928912619	-0.207708860014011	-0.850088168704644	0.908136966076152	-0.516977104276115	1.21037982079864	-0.20796228537039	0.303790356933785	0.589655539918828	-1.45913986598645	0.795456701093901	-1.2236416956205	-0.273843181693271	-1.13427357330703	-0.311327094732758	0.379932851055741	0.149599346860383	-0.0201861326697904	1.5598848564492	-2.10419998224195	0.216760760108525	-0.189466577103291	0.0177783943421528	-0.11353114543985	0.0888299929898729	1.21588007018669	1.3146600190883	-0.46261883756365	0.543863065894938
MI0000650_MIMAT0004657_7072866	0.61545146071934	1.01011858450224	0.678644298308063	1.44248654315902	-0.0859496738285971	0.00119065190660466	-0.198761683546908	0.369767982377814	-0.85077631023988	1.38218425797485	0.0184613749364038	0.252411842126228	-1.5316072536081	-1.0025212346985	0.0187622863436885	0.532044027971724	-0.938586146809921	1.0142355477895	0.0314025942525716	-0.606599958820382	0.588322171781277	-0.126767327200731	-0.778871918139292	-0.409903812455963	-0.870391259509952	-0.527739168713146	-0.729914556961654	-0.645167320081279	0.957472855615243	0.413278268436983	0.109046464839057	-0.904490108122369	1.96097788256035	0.0651690113932205	0.0780605162598617	-0.205743057639136	0.617122324326809	-1.5316072536081
MI0000650_MIMAT0000617_7072904	-0.494114251090491	-0.435396130706079	0.42095863183294	1.32335257210549	-1.26919073417365	0.139496435986796	0.629676771452468	0.0672536710614708	-0.960290540893916	0.987635472944842	-0.921464688946927	-0.295910928438699	-1.19675655936395	-0.70245950428289	0.977597778467269	0.875843064922578	0.214780257437983	0.0465024216516097	-1.05166208148924	-0.725827815424034	0.601634631719034	0.113261390681127	-0.300775865119201	-0.206924403562367	0.0825818777092754	-1.12909232233122	0.329056944135675	0.311913742824907	0.197239211611965	0.425269100608353	-0.542690806816544	0.621045668435633	-0.132563803987002	-0.306040670789997	-1.29649911341972	-0.0077023608545972	-1.18754871823179	-1.42767248648391
MI0000650_MIMAT0000617_7072905	-0.495164194780525	1.17171815522619	-0.642085589773048	1.65616297224616	-0.674036566204608	-0.0781517589322033	1.15681058342167	-0.0239998011264692	0.127004209248441	1.24143727419702	-0.190782050579115	-0.549842118768659	-1.56263762690774	0.134867549917597	-0.688598125438802	1.08957389162528	0.966055707828822	0.859425894236391	-0.48002612655391	-0.416990284131737	0.44341920875191	0.21746299443097	-0.894779006447778	-0.0110727305846097	-0.312844768968732	-0.902698895008321	-0.878821339405444	0.559302393786145	1.36194031702154	-0.0108870250468634	0.535872672248779	0.0943260196844919	0.020116043423486	-0.849975174488557	-0.510117974162745	-0.157593207655928	-0.736505885355747	-0.582847764420914
MI0000650_MIMAT0000617_7072906	-0.60311888907827	-1.27874454990635	-0.141149379769285	-0.128065357997323	-0.363785229364136	0.0800655198212242	1.13669026871621	-0.0538425515160525	0.655481751127157	0.66673170441419	-0.0601450996731882	-1.27874454990635	0.247470338520386	0.58254313619523	-1.27874454990635	1.22316436687229	1.7758743754161	0.989963715368651	-0.505296061627962	-0.800341401224706	0.0981098778988773	-1.27874454990635	-0.607950235267153	0.121697025726895	-0.689506993636584	1.12765301952891	0.0167114744258894	0.414079644194446	2.22326216769437	-0.293441037060804	1.44637702391387	1.14898884546256	-0.49600862541816	0.144210358470052	-1.27874454990635	-0.0972108517629793	-0.679433015851986	-0.343222809514271
MI0000651_MIMAT0000416_61151558	0.107572258218586	0.435783216255259	-0.617767194372751	1.66629044251297	-0.222000358069641	-0.0161598231522304	-1.31138868293348	-0.605651441879974	-0.292538450693794	0.565795325743869	0.77844704176574	-1.22414214089742	-0.380319742621421	-0.481953713160892	1.70739296793429	-0.855833141078539	-0.874814891274878	0.176239557204951	-0.823971101422935	0.846240324023027	-0.488939992122163	-0.956088378610508	-0.487172449834393	0.116576468512247	-0.0384159943237591	-0.192645164154328	-0.536617883125328	1.05344033660634	-1.2306907460889	-0.449011369596564	-0.459543672418911	-0.241051922351756	-0.0960655549992667	0.848641905779702	0.0798507444485985	-0.46710967061018	-0.0103337211905106	1.63453504108133
MI0000681_MIMAT0000646_26946294	-0.2631641143715	3.08201727583467	-1.04562692859467	-1.04562692859467	-1.04562692859467	-0.973615974582558	2.57967668859986	0.372969670642462	-0.342969039393661	0.253610851156217	-0.019907070773626	-1.04562692859467	-1.04562692859467	-1.04562692859467	1.1492610526429	1.04738433211565	0.089707487350058	0.898630741737155	-1.04562692859467	0.502496594707772	2.85388184806274	0.404251146087411	-0.767713772663223	-0.42067408408098	1.88079734884317	-0.49063049082727	-1.04562692859467	0.252365394666208	0.0259403356171613	0.961610211505013	1.79638749480094	-0.398404862645699	-1.04562692859467	0.602340824371106	-1.04562692859467	2.08985738401847	-0.351545846834353	0.0378295121464259
MI0000681_MIMAT0000646_26946295	-1.4694738542493	0.877725515563699	-0.87716235671986	0.400247466036373	1.19085322269275	-0.760128867232477	2.70771705968369	0.00181917725105384	-1.21812397950033	2.33199704832614	-1.32099522397007	-1.5342412475624	-1.29184064236137	1.00263958797834	0.798044029376366	1.36437953846276	0.0978321358539643	1.10023099314199	-1.53383177708912	-0.27174923508607	2.55163430568735	-1.00532342577057	-2.28407198516733	-1.16964387942754	1.35253129045919	-0.445661525263652	-0.59668335040568	-0.616948857601665	-0.196820404764449	-0.326607765917438	0.756410609735039	-0.75428537827534	-1.36556705269243	-0.44258754928934	-0.49139227911465	0.137567092245793	-2.13466052710279	-0.908267659980795
